t (ms),Ina (pA)
-0.5,-0.0000000001
0,-0.0000000001
0,0
0.01,-0.0509240401
0.02,-0.3813801386
0.03,-1.206299238
0.04,-2.681201165
0.05,-4.912514223
0.06,-7.966395919
0.07,-11.87625367
0.08,-16.64913929
0.09,-22.27116914
0.1,-28.7121023
0.11,-35.92919249
0.12,-43.87041439
0.13,-52.47715207
0.14,-61.68642586
0.15,-71.43272394
0.16,-81.64949635
0.17,-92.27036122
0.18,-103.2300666
0.19,-114.4652455
0.2,-125.9149957
0.21,-137.5213136
0.22,-149.229405
0.23,-160.9878934
0.24,-172.748945
0.25,-184.4683237
0.26,-196.10539
0.27,-207.6230554
0.28,-218.9877004
0.29,-230.1690651
0.3,-241.140118
0.31,-251.8769105
0.32,-262.3584193
0.33,-272.5663827
0.34,-282.4851332
0.35,-292.1014284
0.36,-301.4042838
0.37,-310.3848075
0.38,-319.0360404
0.39,-327.3527999
0.4,-335.3315307
0.41,-342.970162
0.42,-350.2679714
0.43,-357.225456
0.44,-363.8442107
0.45,-370.1268143
0.46,-376.0767223
0.47,-381.6981671
0.48,-386.9960649
0.49,-391.9759294
0.5,-396.6437923
0.51,-401.0061293
0.52,-405.0697925
0.53,-408.8419483
0.54,-412.3300203
0.55,-415.5416377
0.56,-418.4845878
0.57,-421.1667734
0.58,-423.5961738
0.59,-425.7808104
0.6,-427.7287147
0.61,-429.4479009
0.62,-430.9463404
0.63,-432.2319402
0.64,-433.3125228
0.65,-434.1958096
0.66,-434.8894056
0.67,-435.4007868
0.68,-435.7372889
0.69,-435.906098
0.7,-435.9142428
0.71,-435.7685882
0.72,-435.4758304
0.73,-435.0424921
0.74,-434.4749204
0.75,-433.7792843
0.76,-432.9615734
0.77,-432.0275978
0.78,-430.9829879
0.79,-429.8331953
0.8,-428.5834945
0.81,-427.2389838
0.82,-425.8045883
0.83,-424.2850619
0.84,-422.6849903
0.85,-421.0087941
0.86,-419.2607317
0.87,-417.4449034
0.88,-415.5652545
0.89,-413.625579
0.9,-411.6295239
0.91,-409.5805924
0.92,-407.4821486
0.93,-405.3374206
0.94,-403.1495054
0.95,-400.9213719
0.96,-398.6558657
0.97,-396.3557125
0.98,-394.0235221
0.99,-391.6617925
1,-389.2729131
1.01,-386.8591691
1.02,-384.4227445
1.03,-381.9657262
1.04,-379.4901074
1.05,-376.9977906
1.06,-374.4905915
1.07,-371.9702419
1.08,-369.438393
1.09,-366.8966183
1.1,-364.3464171
1.11,-361.7892167
1.12,-359.2263758
1.13,-356.6591868
1.14,-354.0888788
