V,"m(V,inf)^3","h(V, inf)"
-100,0,0.9999251538
-99.99,0,0.9999250339
-99.98,0,0.9999249139
-99.97,0,0.9999247937
-99.96,0,0.9999246733
-99.95,0,0.9999245526
-99.94,0,0.9999244318
-99.93,0,0.9999243108
-99.92,0,0.9999241897
-99.91,0,0.9999240683
-99.9,0,0.9999239467
-99.89,0,0.9999238249
-99.88,0,0.999923703
-99.87,0,0.9999235808
-99.86,0,0.9999234584
-99.85,0,0.9999233359
-99.84,0,0.9999232131
-99.83,0,0.9999230902
-99.82,0,0.999922967
-99.81,0,0.9999228437
-99.8,0,0.9999227201
-99.79,0,0.9999225964
-99.78,0,0.9999224725
-99.77,0,0.9999223483
-99.76,0,0.999922224
-99.75,0,0.9999220995
-99.74,0,0.9999219747
-99.73,0,0.9999218498
-99.72,0,0.9999217247
-99.71,0,0.9999215994
-99.7,0,0.9999214738
-99.69,0,0.9999213481
-99.68,0,0.9999212222
-99.67,0,0.999921096
-99.66,0,0.9999209697
-99.65,0,0.9999208431
-99.64,0,0.9999207164
-99.63,0,0.9999205895
-99.62,0,0.9999204623
-99.61,0,0.999920335
-99.6,0,0.9999202074
-99.59,0,0.9999200796
-99.58,0,0.9999199517
-99.57,0,0.9999198235
-99.56,0,0.9999196951
-99.55,0,0.9999195666
-99.54,0,0.9999194378
-99.53,0,0.9999193088
-99.52,0,0.9999191796
-99.51,0,0.9999190502
-99.5,0,0.9999189206
-99.49,0,0.9999187907
-99.48,0,0.9999186607
-99.47,0,0.9999185305
-99.46,0,0.9999184
-99.45,0,0.9999182694
-99.44,0,0.9999181385
-99.43,0,0.9999180074
-99.42,0,0.9999178762
-99.41,0,0.9999177447
-99.4,0,0.999917613
-99.39,0,0.999917481
-99.38,0,0.9999173489
-99.37,0,0.9999172166
-99.36,0,0.999917084
-99.35,0,0.9999169513
-99.34,0,0.9999168183
-99.33,0,0.9999166851
-99.32,0,0.9999165517
-99.31,0,0.9999164181
-99.3,0,0.9999162843
-99.29,0,0.9999161502
-99.28,0,0.999916016
-99.27,0,0.9999158815
-99.26,0,0.9999157468
-99.25,0,0.9999156119
-99.24,0,0.9999154768
-99.23,0,0.9999153415
-99.22,0,0.9999152059
-99.21,0,0.9999150701
-99.2,0,0.9999149342
-99.19,0,0.999914798
-99.18,0,0.9999146615
-99.17,0,0.9999145249
-99.16,0,0.999914388
-99.15,0,0.999914251
-99.14,0,0.9999141137
-99.13,0,0.9999139762
-99.12,0,0.9999138384
-99.11,0,0.9999137005
-99.1,0,0.9999135623
-99.09,0,0.9999134239
-99.08,0,0.9999132853
-99.07,0,0.9999131464
-99.06,0,0.9999130074
-99.05,0,0.9999128681
-99.04,0,0.9999127286
-99.03,0,0.9999125888
-99.02,0,0.9999124489
-99.01,0,0.9999123087
-99,0,0.9999121683
-98.99,0,0.9999120276
-98.98,0,0.9999118868
-98.97,0,0.9999117457
-98.96,0,0.9999116044
-98.95,0,0.9999114629
-98.94,0,0.9999113211
-98.93,0,0.9999111791
-98.92,0,0.9999110369
-98.91,0,0.9999108945
-98.9,0,0.9999107518
-98.89,0,0.9999106089
-98.88,0,0.9999104658
-98.87,0,0.9999103224
-98.86,0,0.9999101788
-98.85,0,0.999910035
-98.84,0,0.999909891
-98.83,0,0.9999097467
-98.82,0,0.9999096022
-98.81,0,0.9999094574
-98.8,0,0.9999093125
-98.79,0,0.9999091673
-98.78,0,0.9999090218
-98.77,0,0.9999088762
-98.76,0,0.9999087303
-98.75,0,0.9999085841
-98.74,0,0.9999084378
-98.73,0,0.9999082912
-98.72,0,0.9999081443
-98.71,0,0.9999079972
-98.7,0,0.9999078499
-98.69,0,0.9999077024
-98.68,0,0.9999075546
-98.67,0,0.9999074066
-98.66,0,0.9999072583
-98.65,0,0.9999071098
-98.64,0,0.9999069611
-98.63,0,0.9999068121
-98.62,0,0.9999066629
-98.61,0,0.9999065135
-98.6,0,0.9999063638
-98.59,0,0.9999062139
-98.58,0,0.9999060637
-98.57,0,0.9999059133
-98.56,0,0.9999057627
-98.55,0,0.9999056118
-98.54,0,0.9999054607
-98.53,0,0.9999053093
-98.52,0,0.9999051577
-98.51,0,0.9999050058
-98.5,0,0.9999048537
-98.49,0,0.9999047014
-98.48,0,0.9999045488
-98.47,0,0.999904396
-98.46,0,0.9999042429
-98.45,0,0.9999040896
-98.44,0,0.999903936
-98.43,0,0.9999037822
-98.42,0,0.9999036281
-98.41,0,0.9999034738
-98.4,0,0.9999033193
-98.39,0,0.9999031645
-98.38,0,0.9999030094
-98.37,0,0.9999028542
-98.36,0,0.9999026986
-98.35,0,0.9999025428
-98.34,0,0.9999023868
-98.33,0,0.9999022305
-98.32,0,0.9999020739
-98.31,0,0.9999019172
-98.3,0,0.9999017601
-98.29,0,0.9999016028
-98.28,0,0.9999014453
-98.27,0,0.9999012875
-98.26,0,0.9999011294
-98.25,0,0.9999009711
-98.24,0,0.9999008126
-98.23,0,0.9999006538
-98.22,0,0.9999004947
-98.21,0,0.9999003354
-98.2,0,0.9999001758
-98.19,0,0.999900016
-98.18,0,0.9998998559
-98.17,0,0.9998996955
-98.16,0,0.9998995349
-98.15,0,0.9998993741
-98.14,0,0.999899213
-98.13,0,0.9998990516
-98.12,0,0.99989889
-98.11,0,0.9998987281
-98.1,0,0.9998985659
-98.09,0,0.9998984035
-98.08,0,0.9998982408
-98.07,0,0.9998980779
-98.06,0,0.9998979147
-98.05,0,0.9998977513
-98.04,0,0.9998975876
-98.03,0,0.9998974236
-98.02,0,0.9998972594
-98.01,0,0.9998970949
-98,0,0.9998969301
-97.99,0,0.9998967651
-97.98,0,0.9998965998
-97.97,0,0.9998964342
-97.96,0,0.9998962684
-97.95,0,0.9998961023
-97.94,0,0.999895936
-97.93,0,0.9998957693
-97.92,0,0.9998956025
-97.91,0,0.9998954353
-97.9,0,0.9998952679
-97.89,0,0.9998951002
-97.88,0,0.9998949322
-97.87,0,0.999894764
-97.86,0,0.9998945955
-97.85,0,0.9998944268
-97.84,0,0.9998942577
-97.83,0,0.9998940884
-97.82,0,0.9998939188
-97.81,0,0.999893749
-97.8,0,0.9998935789
-97.79,0,0.9998934085
-97.78,0,0.9998932378
-97.77,0,0.9998930669
-97.76,0,0.9998928957
-97.75,0,0.9998927242
-97.74,0,0.9998925524
-97.73,0,0.9998923804
-97.72,0,0.9998922081
-97.71,0,0.9998920355
-97.7,0,0.9998918626
-97.69,0,0.9998916895
-97.68,0,0.9998915161
-97.67,0,0.9998913424
-97.66,0,0.9998911684
-97.65,0,0.9998909942
-97.64,0,0.9998908196
-97.63,0,0.9998906448
-97.62,0,0.9998904697
-97.61,0,0.9998902944
-97.6,0,0.9998901187
-97.59,0,0.9998899428
-97.58,0,0.9998897666
-97.57,0,0.9998895901
-97.56,0,0.9998894133
-97.55,0,0.9998892362
-97.54,0,0.9998890589
-97.53,0,0.9998888813
-97.52,0,0.9998887033
-97.51,0,0.9998885251
-97.5,0,0.9998883467
-97.49,0,0.9998881679
-97.48,0,0.9998879888
-97.47,0,0.9998878095
-97.46,0,0.9998876299
-97.45,0,0.99988745
-97.44,0,0.9998872697
-97.43,0,0.9998870893
-97.42,0,0.9998869085
-97.41,0,0.9998867274
-97.4,0,0.999886546
-97.39,0,0.9998863644
-97.38,0,0.9998861824
